display_status,product_id,parent_product_id,product_name,sku,variant_options,price,currency,quantity_available,stock_availability_status,restock_threshold,product_type,product_url_slug,product_short_description,product_description,product_images,meta_title,meta_description,primary_keyword,image_alt_text,product_rating,review_count,discount_price,cost_price,return_policy,product_dimensions,product_weight,stock_location,supplier_name,additional_details,shipping_cost,shipping_time_eta,shipping_regions
Archived,uc007-green-plain,uc007,uncategorized_7,uc-007-green-plain,color:green | pattern:plain,21.56,EUR,0,Out of Stock,1,uncategorized,uncategorized-7-green-plain,High quality uncategorized,High quality uncategorized with multiple variants.,https://placehold.co/600x600?text=uc007-green-plain+1 | https://placehold.co/600x600?text=uc007-green-plain+2 | https://placehold.co/600x600?text=uc007-green-plain+3,Uncategorized Product,Buy premium uncategorized online,uncategorized,uncategorized image,4.7,105,,16.64,30 day return,13 x 3 x 1 in,2.08 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 16 x 6 x 4 in - Weight: 8.91 lb - Options: color:green | pattern:plain - High-quality uncategorized product,12.49,4 days,Nepal
Unpublished,uc007-white-floral,uc007,uncategorized_7,uc-007-white-floral,color:white | pattern:floral,21.98,EUR,1,In Stock,,uncategorized,uncategorized-7-white-floral,High quality uncategorized,High quality uncategorized with multiple variants.,https://placehold.co/600x600?text=uc007-white-floral+1 | https://placehold.co/600x600?text=uc007-white-floral+2 | https://placehold.co/600x600?text=uc007-white-floral+3,Uncategorized Product,Buy premium uncategorized online,uncategorized,uncategorized image,4.9,272,,13.68,30 day return,16 x 18 x 10 in,4.41 lb,Jamarko Warehouse,Jamarko,- Material: fabric - Dimensions: 17 x 4 x 5 in - Weight: 2.4 lb - Options: color:white | pattern:floral - High-quality uncategorized product,12.49,4 days,Nepal
OutOfStock,uc007-brown-striped,uc007,uncategorized_7,uc-007-brown-striped,color:brown | pattern:striped,21.9,EUR,20,In Stock,7,uncategorized,uncategorized-7-brown-striped,High quality uncategorized,High quality uncategorized with multiple variants.,https://placehold.co/600x600?text=uc007-brown-striped+1 | https://placehold.co/600x600?text=uc007-brown-striped+2 | https://placehold.co/600x600?text=uc007-brown-striped+3,Uncategorized Product,Buy premium uncategorized online,uncategorized,uncategorized image,4.7,139,,15.8,30 day return,18 x 18 x 6 in,7.74 lb,Jamarko Retail Store A,Jamarko,- Material: leather - Dimensions: 16 x 3 x 1 in - Weight: 9.69 lb - Options: color:brown | pattern:striped - High-quality uncategorized product,12.49,4 days,Nepal
Draft,ps008,,pencils_8,ps-008,,22.44,AUD,0,Preorder,,pencils,pencils-8,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps008+1 | https://placehold.co/600x600?text=ps008+2 | https://placehold.co/600x600?text=ps008+3 | https://placehold.co/600x600?text=ps008+4,Pencils Product,Buy premium pencils online,pencils,pencils image,4.6,79,,12.94,30 day return,12 x 12 x 7 in,9.94 lb,Jamarko Retail Store B,Jamarko,- Material: paper - Dimensions: 5 x 7 x 1 in - Weight: 1.26 lb - High-quality pencils product,14.4,10 days,Nepal
OutOfStock,pf009,,photo_frames_9,pf-009,,27.54,AUD,30,In Stock,,photo_frames,photo-frames-9,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf009+1 | https://placehold.co/600x600?text=pf009+2 | https://placehold.co/600x600?text=pf009+3 | https://placehold.co/600x600?text=pf009+4,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.6,246,,17.57,30 day return,7 x 12 x 1 in,8.06 lb,Jamarko Retail Store A,Jamarko,- Material: fabric - Dimensions: 20 x 10 x 1 in - Weight: 12.39 lb - High-quality photo frames product,5.4,8 days,Nepal
Unpublished,pf009-plain,pf009,photo_frames_9,pf-009-plain,pattern:plain,25.84,AUD,7,In Stock,1,photo_frames,photo-frames-9-plain,High quality photo frames,High quality photo frames with multiple variants.,https://mohitshrestha.github.io/jamarko_website/assets/media/images/logos_and_banners/jamarko_banner.jpg | https://mohitshrestha.github.io/jamarko_website/assets/media/images/pages/upcycled/upcycled.jpg | https://placehold.co/600x600?text=pf009-plain+3,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.9,214,19.76,18.52,30 day return,7 x 6 x 8 in,9.97 lb,Jamarko Retail Store B,Jamarko,- Material: wood - Dimensions: 7 x 12 x 1 in - Weight: 4.61 lb - Options: pattern:plain - High-quality photo frames product,5.4,8 days,Nepal
Unpublished,pf009-floral,pf009,photo_frames_9,pf-009-floral,pattern:floral,25.82,AUD,16,In Stock,,photo_frames,photo-frames-9-floral,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf009-floral+1 | https://placehold.co/600x600?text=pf009-floral+2 | https://placehold.co/600x600?text=pf009-floral+3 | https://placehold.co/600x600?text=pf009-floral+4,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.6,249,,19.97,30 day return,12 x 18 x 7 in,1.24 lb,Jamarko Warehouse,Jamarko,- Material: paper - Dimensions: 10 x 18 x 3 in - Weight: 4.35 lb - Options: pattern:floral - High-quality photo frames product,5.4,8 days,Nepal
OutOfStock,pf009-geometric,pf009,photo_frames_9,pf-009-geometric,pattern:geometric,27.93,AUD,7,In Stock,2,photo_frames,photo-frames-9-geometric,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf009-geometric+1 | https://placehold.co/600x600?text=pf009-geometric+2 | https://placehold.co/600x600?text=pf009-geometric+3,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.2,243,,18.47,30 day return,12 x 3 x 3 in,13.97 lb,Jamarko Retail Store B,Jamarko,- Material: paper - Dimensions: 19 x 3 x 7 in - Weight: 8.28 lb - Options: pattern:geometric - High-quality photo frames product,5.4,8 days,Nepal
Published,wp010,,wrapping_papers_10,wp-010,,16.79,EUR,0,Out of Stock,1,wrapping_papers,wrapping-papers-10,High quality wrapping papers,High quality wrapping papers with multiple variants.,https://placehold.co/600x600?text=wp010+1 | https://placehold.co/600x600?text=wp010+2 | https://placehold.co/600x600?text=wp010+3 | https://placehold.co/600x600?text=wp010+4 | https://placehold.co/600x600?text=wp010+5,Wrapping_Papers Product,Buy premium wrapping_papers online,wrapping_papers,wrapping_papers image,4.8,105,,8.66,30 day return,10 x 13 x 9 in,4.64 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 7 x 13 x 7 in - Weight: 12.88 lb - High-quality wrapping papers product,13.78,9 days,Nepal
Archived,ps011,,pencils_11,ps-011,,3.39,EUR,0,Preorder,,pencils,pencils-11,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps011+1 | https://placehold.co/600x600?text=ps011+2 | https://placehold.co/600x600?text=ps011+3 | https://placehold.co/600x600?text=ps011+4 | https://placehold.co/600x600?text=ps011+5,Pencils Product,Buy premium pencils online,pencils,pencils image,4.4,234,,2.65,30 day return,9 x 11 x 5 in,1.76 lb,Jamarko Retail Store B,Jamarko,- Material: fabric - Dimensions: 11 x 19 x 10 in - Weight: 1.71 lb - High-quality pencils product,8.69,13 days,Nepal
ComingSoon,pf012,,photo_frames_12,pf-012,,14.03,EUR,37,In Stock,,photo_frames,photo-frames-12,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf012+1 | https://placehold.co/600x600?text=pf012+2 | https://placehold.co/600x600?text=pf012+3 | https://placehold.co/600x600?text=pf012+4,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.5,261,,9.17,30 day return,5 x 16 x 3 in,14.6 lb,Jamarko Retail Store A,Jamarko,- Material: metal - Dimensions: 11 x 18 x 2 in - Weight: 7.34 lb - High-quality photo frames product,3.05,7 days,Nepal
Published,pf012-white-striped,pf012,photo_frames_12,pf-012-white-striped,color:white | pattern:striped,13.12,EUR,13,In Stock,,photo_frames,photo-frames-12-white-striped,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf012-white-striped+1 | https://placehold.co/600x600?text=pf012-white-striped+2 | https://placehold.co/600x600?text=pf012-white-striped+3 | https://placehold.co/600x600?text=pf012-white-striped+4,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.6,63,,6.74,30 day return,16 x 20 x 10 in,10.21 lb,Jamarko Retail Store A,Jamarko,- Material: metal - Dimensions: 7 x 3 x 4 in - Weight: 12.88 lb - Options: color:white | pattern:striped - High-quality photo frames product,3.05,7 days,Nepal
Published,pf012-brown-plain,pf012,photo_frames_12,pf-012-brown-plain,color:brown | pattern:plain,16.05,EUR,14,In Stock,4,photo_frames,photo-frames-12-brown-plain,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf012-brown-plain+1 | https://placehold.co/600x600?text=pf012-brown-plain+2,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.8,202,,12.53,30 day return,7 x 11 x 7 in,11.65 lb,Jamarko Retail Store B,Jamarko,- Material: metal - Dimensions: 14 x 8 x 3 in - Weight: 10.68 lb - Options: color:brown | pattern:plain - High-quality photo frames product,3.05,7 days,Nepal
PreOrder,pf012-blue-floral,pf012,photo_frames_12,pf-012-blue-floral,color:blue | pattern:floral,13.03,EUR,10,In Stock,3,photo_frames,photo-frames-12-blue-floral,High quality photo frames,High quality photo frames with multiple variants.,https://placehold.co/600x600?text=pf012-blue-floral+1 | https://placehold.co/600x600?text=pf012-blue-floral+2 | https://placehold.co/600x600?text=pf012-blue-floral+3,Photo_Frames Product,Buy premium photo_frames online,photo_frames,photo_frames image,4.8,105,,10.2,30 day return,18 x 5 x 10 in,8.3 lb,Jamarko Warehouse,Jamarko,- Material: wood - Dimensions: 7 x 11 x 10 in - Weight: 5.63 lb - Options: color:blue | pattern:floral - High-quality photo frames product,3.05,7 days,Nepal
ComingSoon,ps013,,pencils_13,ps-013,,4.17,USD,31,In Stock,,pencils,pencils-13,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps013+1 | https://placehold.co/600x600?text=ps013+2,Pencils Product,Buy premium pencils online,pencils,pencils image,4.8,194,,2.85,30 day return,19 x 15 x 6 in,10.9 lb,Jamarko Retail Store B,Jamarko,- Material: leather - Dimensions: 18 x 10 x 3 in - Weight: 11.86 lb - High-quality pencils product,5.79,12 days,Nepal
PreOrder,ps013-leather-matte,ps013,pencils_13,ps-013-leather-matte,material:leather | finish:matte,4.94,USD,4,In Stock,1,pencils,pencils-13-leather-matte,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps013-leather-matte+1 | https://placehold.co/600x600?text=ps013-leather-matte+2,Pencils Product,Buy premium pencils online,pencils,pencils image,4.5,222,,2.51,30 day return,4 x 8 x 4 in,7.28 lb,Jamarko Retail Store A,Jamarko,- Material: wood - Dimensions: 10 x 8 x 3 in - Weight: 3.19 lb - Options: material:leather | finish:matte - High-quality pencils product,5.79,12 days,Nepal
Unpublished,ps013-wood-glossy,ps013,pencils_13,ps-013-wood-glossy,material:wood | finish:glossy,4.3,USD,7,In Stock,,pencils,pencils-13-wood-glossy,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps013-wood-glossy+1 | https://placehold.co/600x600?text=ps013-wood-glossy+2 | https://placehold.co/600x600?text=ps013-wood-glossy+3 | https://placehold.co/600x600?text=ps013-wood-glossy+4,Pencils Product,Buy premium pencils online,pencils,pencils image,4.9,253,,2.81,30 day return,8 x 16 x 1 in,8.44 lb,Jamarko Warehouse,Jamarko,- Material: leather - Dimensions: 18 x 19 x 8 in - Weight: 0.79 lb - Options: material:wood | finish:glossy - High-quality pencils product,5.79,12 days,Nepal
ComingSoon,ps013-paper-textured,ps013,pencils_13,ps-013-paper-textured,material:paper | finish:textured,3.83,USD,20,In Stock,5,pencils,pencils-13-paper-textured,High quality pencils,High quality pencils with multiple variants.,https://placehold.co/600x600?text=ps013-paper-textured+1 | https://placehold.co/600x600?text=ps013-paper-textured+2 | https://placehold.co/600x600?text=ps013-paper-textured+3 | https://placehold.co/600x600?text=ps013-paper-textured+4,Pencils Product,Buy premium pencils online,pencils,pencils image,4.4,22,,2.17,30 day return,9 x 8 x 5 in,11.66 lb,Jamarko Warehouse,Jamarko,- Material: metal - Dimensions: 3 x 17 x 2 in - Weight: 3.41 lb - Options: material:paper | finish:textured - High-quality pencils product,5.79,12 days,Nepal
Unpublished,bx014,,boxes_14,bx-014,,16.24,EUR,38,In Stock,13,boxes,boxes-14,High quality boxes,High quality boxes with multiple variants.,https://placehold.co/600x600?text=bx014+1 | https://placehold.co/600x600?text=bx014+2 | https://placehold.co/600x600?text=bx014+3,Boxes Product,Buy premium boxes online,boxes,boxes image,4.6,255,,12,30 day return,16 x 13 x 4 in,1.19 lb,Jamarko Retail Store B,Jamarko,- Material: leather - Dimensions: 9 x 16 x 4 in - Weight: 11.89 lb - High-quality boxes product,5.34,6 days,Nepal
